技能名称,来源,主方向,子域,角色,建议动作,具体建议,发布状态,能力概述（上游/项目原文节选）,流程结构（标题/步骤节选）,相互提及候选（非硬依赖）,相对资源引用,静态风险关键词（不代表已执行）,SKILL行数,依据
pptx-posters,Scientific,E 可视化与成果交付,幻灯片与海报,专业模块/适配后端,归并交付入口，保留格式后端,按交付格式选后端；保留数据可追溯性，AI生成及外部上传/付费须显式授权。,分发,"Create and audit editable scientific posters in macro-free PowerPoint (.pptx) from author-approved local content and assets. Use when the requested deliverable is a PowerPoint research/conference poster and exact physical, printer, accessibility, provenance, and package-security checks are required.","1. The author has not supplied exact poster content and source records. → 2. Any claim, number, citation, author, affiliation, funding statement, figure, → 3. Current conference and printer requirements are not confirmed. → 4. Author approval is not bound to the current manifest content hash. → 5. An asset is remote, outside the manifest directory, unhashed, or unapproved. → 6. An input is `.pptm`, contains macros/external relationships/OLE/embedded files,",pptx,,"upload, pip install, uv pip",275,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/pptx-posters/SKILL.md
scientific-slides,Scientific,E 可视化与成果交付,幻灯片与海报,任务编排/专用合同,归并交付入口,保留通用演讲结构及 PDF/PPT 输出差异，避免每次都跑多套制片流程。,分发,"Build slide decks and presentations for research talks. Use this for making PowerPoint slides, conference presentations, seminar talks, research presentations, thesis defense slides, or any scientific talk. Provides slide structure, design templates, timing guidance, and visual validation. Works with PowerPoint and LaTeX Beamer.","1. **Plan the deck**: Create a detailed plan for each slide (title, key points, visual elements) → 2. **Generate slides**: Call Nano Banana Pro for each slide to create complete slide images → 3. **Combine to PDF**: Assemble slide images into a single PDF presentation → **Step 1: Plan Each Slide** → **Step 2: Generate Each Slide** → 1. **Define a Formatting Goal** at the start of your presentation and include it in EVERY prompt:","research-lookup, pdf, pptx, scientific-schematics",references/slide_capabilities.md; references/presentation_workflow.md; references/prompt_writing.md; references/script_reference.md; references/common_pitfalls.md,API_KEY,396,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/scientific-slides/SKILL.md
nature-figure,Nature,E 可视化与成果交付,数据图表,任务编排/专用合同,归并图表入口,保留数据驱动绘图、R/Python后端及提交质量检查；AI示意图须显式请求。,分发,"Create, revise, audit, and export manuscript scientific figures in Python or R. Use for 论文配图、科研绘图、多面板图 and submission-ready plots, or explicitly requested AI-generated graphical abstracts and mechanism schematics. Not for interactive dashboards, data cleaning, or statistics-only analysis.","1. Read [manifest.yaml](manifest.yaml) and the `always_load` files. → 2. Read [references/ai-graphical-abstract-workflow.md](references/ai-graphical-abstract-workflow.md). → 3. Read [references/openrouter-image-generation.md](references/openrouter-image-generation.md). → 4. Use [scripts/generate_openrouter_schematic.py](scripts/generate_openrouter_schematic.py) when the user wants a real API call or a reproducible payload. → 5. Treat output as a draft schematic / graphical abstract, not as a quantitative data panel. Do not invent experimental values, author logos, institutional marks, or unsupported mechanisms. Keep internal usefulness separate from submission eligibility. → 1. If the current request explicitly chooses Python or R, use that backend and save it with `scripts/nature_figure_backend.py set python` or `scripts/nature_figure_backend.py set r`.","matplotlib, seaborn, nature-shared, pdf",references/ai-graphical-abstract-workflow.md; manifest.yaml; references/openrouter-image-generation.md; scripts/generate_openrouter_schematic.py,upload,143,https://github.com/Yuan1z0825/nature-skills/blob/2375e0abdf42158ef149256f2c64b1f759a0d274/skills/nature-figure/SKILL.md
matplotlib,Scientific,E 可视化与成果交付,数据图表,专业模块/适配后端,仅评估，继续排除发布,等待单独许可复核；不会因被其他技能提及就加入发布包，也不删除用户独立安装的版本。,不分发·许可待复核,"Low-level plotting library for full customization. Use when you need fine-grained control over every plot element, creating novel plot types, or integrating with specific scientific workflows. Export to PNG/PDF/SVG for publication. For quick statistical plots use seaborn; for interactive plots use plotly; for publication-ready multi-panel figures with journal styling, use scientific-visualization.","1. **Figure** - The top-level container for all plot elements → 2. **Axes** - The actual plotting area where data is displayed (one Figure can contain multiple Axes) → 3. **Artist** - Everything visible on the figure (lines, text, ticks, etc.) → 4. **Axis** - The number line objects (x-axis, y-axis) that handle ticks and labels → 1. **Overlapping elements**: Use `constrained_layout=True` or `tight_layout()` → 2. **State confusion**: Use OO interface to avoid pyplot state machine issues",pdf,,,394,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/matplotlib/SKILL.md
scientific-visualization,Scientific,E 可视化与成果交付,数据图表,任务编排/专用合同,归并图表入口,共用真实数据、误差与可访问性检查；具体后端仍独立，不能用AI图代替数据图。,分发,"Create and audit truthful, accessible, publication-ready scientific figures with Matplotlib, Seaborn, or Plotly. Use for figure design, multi-panel layouts, uncertainty and missing-data displays, color/contrast review, image metadata validation, and journal export planning.","1. Inspect file metadata. → 2. Audit palette contrast/grayscale separation. → 3. Compare against a dated publisher snapshot. → 4. View at final size in the manuscript/web context. → 5. Manually review fonts, embedded rasters, clipping, legends, scale bars, image integrity, caption, alt text, and source data. → 6. Re-check the live target-journal page immediately before upload.","matplotlib, pdf, seaborn",,upload,302,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/scientific-visualization/SKILL.md
seaborn,Scientific,E 可视化与成果交付,数据图表,专业模块/适配后端,归并交付入口，保留格式后端,按交付格式选后端；保留数据可追溯性，AI生成及外部上传/付费须显式授权。,分发,"Statistical visualization with pandas integration. Use for quick exploration of distributions, relationships, and categorical comparisons with attractive defaults. Best for box plots, violin plots, pair plots, heatmaps. Built on matplotlib. For interactive plots use plotly; for publication styling use scientific-visualization.","1. **Dataset-oriented**: Work directly with DataFrames and named variables rather than abstract coordinates → 2. **Semantic mapping**: Automatically translate data values into visual properties (colors, sizes, styles) → 3. **Statistical awareness**: Built-in aggregation, error estimation, and confidence intervals → 4. **Aesthetic defaults**: Publication-ready themes and color palettes out of the box → 5. **Matplotlib integration**: Full compatibility with matplotlib customization when needed","statsmodels, matplotlib, pdf",references/plotting_functions.md; references/grids_and_levels.md; references/palettes_and_theming.md; references/patterns_and_troubleshooting.md; references/objects_interface.md; references/function_reference.md; references/examples.md,"pip install, uv pip",271,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/seaborn/SKILL.md
docx,Scientific,E 可视化与成果交付,文档与表格格式（待许可复核）,专业模块/适配后端,仅评估，继续排除发布,等待单独许可复核；不会因被其他技能提及就加入发布包，也不删除用户独立安装的版本。,不分发·许可待复核,"Use this skill whenever the user wants to create, read, edit, or manipulate Word documents (.docx files) or Word templates (.dotx files). Triggers include: any mention of 'Word doc', 'word document', '.docx', '.dotx', or requests to produce professional documents with formatting like tables of contents, headings, page numbers, or letterheads. Also use when extracting or reorganizing content from .docx or .dotx files, inserting or replacing images in documents, performing find-and-replace in Word","DOCX creation, editing, and analysis → Creating with docx-js — gotchas → Verify the output → Editing existing documents → Comments → Dependencies",pdf,,"npm install, delete, rm -",99,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/docx/SKILL.md
pdf,Scientific,E 可视化与成果交付,文档与表格格式（待许可复核）,专业模块/适配后端,仅评估，继续排除发布,等待单独许可复核；不会因被其他技能提及就加入发布包，也不删除用户独立安装的版本。,不分发·许可待复核,"Use this skill whenever the user wants to do anything with PDF files. This includes reading or extracting text/tables from PDFs, combining or merging multiple PDFs into one, splitting PDFs apart, rotating pages, adding watermarks, creating new PDFs, filling PDF forms, encrypting/decrypting PDFs, extracting images, and OCR on scanned PDFs to make them searchable. If the user mentions a .pdf file or asks to produce one, use this skill.",PDF Processing Guide → Overview → Quick Start → Python Libraries → pypdf - Basic Operations → Merge PDFs → Split PDF → Extract Metadata,xlsx,,"pip install, uv pip",322,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/pdf/SKILL.md
pptx,Scientific,E 可视化与成果交付,文档与表格格式（待许可复核）,专业模块/适配后端,仅评估，继续排除发布,等待单独许可复核；不会因被其他技能提及就加入发布包，也不删除用户独立安装的版本。,不分发·许可待复核,"Use this skill any time a .pptx or .potx file is involved in any way — as input, output, or both. This includes: creating slide decks, pitch decks, or presentations; reading, parsing, or extracting text from any .pptx or .potx file (even if the extracted content will be used elsewhere, like in an email or summary); editing, modifying, or updating existing presentations; combining or splitting slide files; working with templates (.potx), layouts, speaker notes, or comments. Trigger whenever the u","PPTX creation, editing, and analysis → Scripts → Creating with pptxgenjs — gotchas → Editing existing decks and templates → Design Ideas → Before Starting → Color Palettes → For Each Slide","markitdown, pdf",,"npm install, delete, rm -, subagent",246,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/pptx/SKILL.md
xlsx,Scientific,E 可视化与成果交付,文档与表格格式（待许可复核）,专业模块/适配后端,仅评估，继续排除发布,等待单独许可复核；不会因被其他技能提及就加入发布包，也不删除用户独立安装的版本。,不分发·许可待复核,"Create, edit, analyze, or convert Excel spreadsheets (.xlsx, .xlsm, .xltx) where the workbook file is the primary deliverable. Use for formulas, formatting, financial models, multi-sheet workbooks, and tabular cleanup exported to Excel. Also applies to .csv/.tsv when the user wants spreadsheet output. Do NOT use for Word documents, HTML reports, standalone Python scripts, database pipelines, or Google Sheets API work.","XLSX creation, editing, and analysis → Requirements for every output → Recalculate (mandatory whenever the file contains formulas) → Choosing formulas that survive verification → openpyxl gotchas → Financial models → Dependencies",markitdown,,"pip install, uv pip, delete",110,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/xlsx/SKILL.md
research-show-me,项目自有,E 可视化与成果交付,解释图与视觉素材,任务编排/专用合同,保留宿主专用模块,保留静态无脚本/无外链资源 HTML、安全归档、topic_id 与“不是科学证据”的边界。,分发,First-party portable Show Me fallback for evidence-based paper and software explainers. Prefer a user-installed show-me skill when present.,Research Show Me → Paper explanation → Software explanation → Presentation artifact,,,,18,.pi/skills/research-show-me/SKILL.md
generate-image,Scientific,E 可视化与成果交付,解释图与视觉素材,专业模块/适配后端,归并交付入口，保留格式后端,按交付格式选后端；保留数据可追溯性，AI生成及外部上传/付费须显式授权。,分发,"Generate or edit images with AI models through the OpenRouter Image API (Gemini, Seedream, Recraft, GPT-Image, Riverflow). Use for photos, illustrations, artwork, concept art, visual assets, logos, and image editing or compositing from reference images. For flowcharts, circuits, pathways, and other technical diagrams, use the scientific-schematics skill instead.","1. `--api-key` → 2. the `OPENROUTER_API_KEY` environment variable → 3. `OPENROUTER_API_KEY=` in a `.env` file, searching the working directory upward, then the → 3.1 Flash, `4K` on Gemini 3 Pro / Seedream / Riverflow, and **`1K` only** on → 1. **Subject** — what is in frame, and how much of it. ""A single pipette tip above a 96-well plate."" → 2. **Medium and style** — photograph, watercolour, 3D render, flat vector, scientific illustration.","scientific-schematics, scientific-slides, latex-posters",,"API_KEY, upload, patient, clinical",321,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/generate-image/SKILL.md
infographics,Scientific,E 可视化与成果交付,解释图与视觉素材,专业模块/适配后端,归并交付入口，保留格式后端,按交付格式选后端；保留数据可追溯性，AI生成及外部上传/付费须显式授权。,分发,"Create professional infographics using Nano Banana Pro AI with smart iterative refinement. Uses Gemini 3.6 Flash for quality review. Integrates research-lookup and web search for accurate data. Supports 10 infographic types, 8 industry styles, and colorblind-safe palettes.","1. **(Optional) Research**: Perplexity Sonar gathers accurate facts, statistics, and data → 2. **Generation 1**: Nano Banana Pro creates initial infographic following design best practices → 3. **Review 1**: **Gemini 3.6 Flash** evaluates quality against document-type threshold → 4. **Decision**: If quality >= threshold → **DONE** (no more iterations needed!) → 5. **If below threshold**: Improved prompt based on critique, regenerate → 6. **Repeat**: Until quality meets threshold OR max iterations reached","scientific-schematics, market-research-reports, scientific-slides, generate-image",references/infographic_type_catalog.md; references/infographic_types.md; references/iterative_refinement.md,"API_KEY, patient",333,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/infographics/SKILL.md
markdown-mermaid-writing,Scientific,E 可视化与成果交付,解释图与视觉素材,专业模块/适配后端,归并交付入口，保留格式后端,按交付格式选后端；保留数据可追溯性，AI生成及外部上传/付费须显式授权。,分发,"Comprehensive markdown and Mermaid diagram writing skill. Use when creating any scientific document, report, analysis, or visualization. Establishes text-based diagrams as the default documentation standard with full style guides (markdown + mermaid), 24 diagram type references, and 9 document templates.",### Step 1: Identify the document type → ### Step 2: Read the style guide → ### Step 3: Pick the diagram type and read its guide → ### Step 4: Write the document → ### Step 5: Commit as text,"matplotlib, seaborn, scientific-schematics, scientific-writing, literature-review",,,322,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/markdown-mermaid-writing/SKILL.md
scientific-schematics,Scientific,E 可视化与成果交付,解释图与视觉素材,专业模块/适配后端,归并交付入口，保留格式后端,按交付格式选后端；保留数据可追溯性，AI生成及外部上传/付费须显式授权。,分发,"Create publication-quality scientific diagrams using Nano Banana 2 AI with smart iterative refinement. Uses Gemini 3.6 Flash for quality review. Only regenerates if quality is below threshold for your document type. Specialized in neural network architectures, system diagrams, flowcharts, biological pathways, and complex scientific visualizations.","1. **Generation 1**: Nano Banana 2 creates initial image following scientific diagram best practices → 2. **Review 1**: **Gemini 3.6 Flash** evaluates quality against document-type threshold → 3. **Decision**: If quality >= threshold → **DONE** (no more iterations needed!) → 4. **If below threshold**: Improved prompt based on critique, regenerate → 5. **Repeat**: Until quality meets threshold OR max iterations reached → 1. **Clarity over complexity** - Simplify, remove unnecessary elements",,references/iterative_refinement.md,"API_KEY, pip install, uv pip, patient",387,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/scientific-schematics/SKILL.md
channel-pickup,项目自有,F 工程集成与协作,交接与应用定制,任务编排/专用合同,统一协作入口，保留消费者,继续接手、核对、实施、回报和退订；不能删除，因为新会话无前会话上下文。,分发,从本项目的跨会话沟通频道接手已交接的实施任务：读 .local/agent-work/channel/<主题>/ 的 HANDOFF.md 和 spec/plan，按沟通协议推进（IMPL-NOTES 记进度、DONE.md 报完成、REVIEW.md 领意见）。当用户说「接手/实施 channel 里的任务」「按 handoff 开工」「继续 XX 主题的实施」时使用。,1. **读频道**：`.local/agent-work/channel/<主题>/HANDOFF.md`（用户没给主题就 `ls .local/agent-work/channel/` 列出让用户选）。若存在 `REVIEW.md` 也一并读——里面的意见是你工作的一部分。 → 2. **读文档**：按 HANDOFF 指定顺序读 spec（`.local/agent-work/spec/`）→ plan（`.local/agent-work/plan/`，路径一律以 HANDOFF 里写的为准）→ 项目根 `AGENTS.md`（含其指路的项目索引，如有）。 → 3. **采信事实表**：HANDOFF 里的「已验证事实」是上一会话读源码考证过的，直接用，**禁止重复考证**；真要推翻，先回 channel 留言说明证据。 → 4. **订阅频道**：若 channel_subscribe 工具可用，订阅本频道（主题 = 目录名）。订阅后对方会话 channel_post 消息会自动唤醒本会话，无需用户人工传话（只写文件不 post 不会通知你）。 → 1. 读 `MESSAGES.md` 尾部的新条目（每条含时间戳 + 来源会话标记），按其指引读提到的文件（IMPL-NOTES.md / DONE.md / REVIEW.md 等），与自己记忆中的最后状态对比。 → 2. **有实质更新**（新进度、review 意见、待你回应的内容）→ 按沟通协议推进：逐条回应 REVIEW 意见、继续 plan 未完阶段等。,,,,55,packages/desktop/resources/skills/channel-pickup/SKILL.md
design-handoff,项目自有,F 工程集成与协作,交接与应用定制,任务编排/专用合同,统一协作入口，保留生产者,继续产出 spec/plan/HANDOFF，批量 post 通知；与 pickup 共用协议而不是互删。,分发,为本项目设计新功能/系统并交接给新会话实施：先调研验证（读代码和 SDK 源码落实事实，不靠猜），产出 spec（.local/agent-work/spec/）+ 实施 plan（.local/agent-work/plan/），创建跨会话沟通频道（.local/agent-work/channel/<主题>/HANDOFF.md），最后按项目文档约定收尾（更新索引，如有）。当用户要求「设计 XX」「写 spec 和 plan」「做 handoff / 交接给新会话」「安排新会话实施」时使用。,1. 读项目索引/导航文档（**如有**——`AGENTS.md` 通常会指路，含「想改 X 改哪里」速查表最理想；没有就跳过，不要新建）和相关代码。 → 2. **验证而非猜测**：凡涉及 SDK/API/外部依赖行为的关键论断（函数签名、覆盖语义、默认值、扫描范围），必须读 `node_modules` 里的源码/`.d.ts` 或官方文档落实，并记录出处（文件:行）。 → 3. 已有的 UI/基础设施要先盘点——很多时候「半边已经完工」（如 renderer 已有对应卡片/解析逻辑），设计只需补缺的那半。 → 4. 方案对比要有结论：列对比表，说明为什么否掉备选（如「子进程方案在打包态不可用」），不要只列可能性。 → 1. **任务一句话** + 完成定义（= plan 验收清单全过 + 用户 review 通过） → 2. **必读文档顺序**：HANDOFF → spec → plan → 项目根 `AGENTS.md`（含其指路的项目索引，如有）,,,subagent,74,packages/desktop/resources/skills/design-handoff/SKILL.md
drone-ui-plugin,项目自有,F 工程集成与协作,交接与应用定制,任务编排/专用合同,保留平台专用模块,保留 SPEC/类型/示例、沙箱约束与用户手动启用信任门；不混入静态解释器。,分发,Drone 桌面端 UI 插件（槽位组件替换）。用户说「改 XX 组件样式 / 把 XX 换成 YY 风格 / 给 XX 加个功能 / DIY 界面 / 定制界面 / 界面能改什么 / 换风格」且对象是聊天界面里的工具调用卡、子代理卡、任务列表面板时使用。按 SPEC 在 ~/.drone/ui-plugins/ 下 scaffold 插件，保存即热重载，最后引导用户在设置面板启用。,1. **读规范**：`~/.drone/ui-plugins/SPEC.md`（槽位表、props 契约、硬约束、样式纪律）+ `~/.drone/ui-plugins/drone-ui.d.ts`（类型）。两个文件宿主已随应用分发。 → 2. **scaffold**：在 `~/.drone/ui-plugins/<name>/`（注意：此路径是宿主建好的 symlink，指向 userData 真实目录）创建： → 3. **保存即构建**：宿主 fs.watch 300ms 防抖自动重建。语法/导入错误 → 旧版继续生效、设置面板显示「构建失败」——修完再保存即可。 → 4. **引导用户启用**（**必须**，agent 无权代劳——信任门）：告诉用户去 **设置 → UI 插件**：开总开关 → 点「启用」→ 二次确认。之后界面立即替换。 → 5. **迭代**：用户确认生效后，继续改 `src/index.tsx` 保存即热替换，不用重启、不用重新启用。,,,,32,packages/desktop/resources/ui-plugins/skills/drone-ui-plugin/SKILL.md
pi-agent,Scientific,F 工程集成与协作,交接与应用定制,任务编排/专用合同,收进高级能力，显式调用,保留 Pi 开发文档，不因它存在而安装第二份 ARS wrapper 或全局扩展。,分发,"Build with and use Pi, the minimal terminal coding harness. Use for installing Pi, configuring providers/models/settings/environment variables, creating Pi skills/extensions/packages/themes/prompt templates, embedding Pi through the SDK, integrating over RPC or JSON event streams, parsing sessions, running local models through the llama.cpp router, developing custom Pi providers and TUI components, or using ecosystem packages such as pi-subagents (delegation/orchestration), pi-mcp-adapter (MCP s",Pi Agent → First Decision → Build-On-Pi Defaults → Safety Defaults → Common Commands → Source Coverage → Citing Scientific Agent Skills,,,"npm install, Docker, docker, subagent, parallel",100,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/pi-agent/SKILL.md
adaptyv,Scientific,F 工程集成与协作,实验平台、记录系统与设备,专业模块/适配后端,折叠为工程/平台适配,按用户指定平台、设备或运行环境调用；保留凭据、预算、安装及物理执行的授权边界。,分发,"How to use the Adaptyv Bio Foundry API and Python SDK for protein experiment design, submission, and results retrieval. Use this skill whenever the user mentions Adaptyv, Foundry API, protein binding assays, protein screening experiments, BLI/SPR assays, thermostability assays, or wants to submit protein sequences for experimental characterization. Also trigger when code imports `adaptyv`, `adaptyv_sdk`, or `FoundryClient`, or references `foundry-api-public.adaptyvbio.com`.",Adaptyv Bio Foundry API → Quick Start → Python SDK → Decorator Pattern → Client Pattern → Experiment Types → Experiment Lifecycle → Common Workflows,,,"API_KEY, pip install, uv pip",257,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/adaptyv/SKILL.md
benchling-integration,Scientific,F 工程集成与协作,实验平台、记录系统与设备,专业模块/适配后端,折叠为工程/平台适配,按用户指定平台、设备或运行环境调用；保留凭据、预算、安装及物理执行的授权边界。,分发,"Benchling Python SDK and REST API integration for registry entities, inventory, ELN entries, workflows, Benchling Apps, and Data Warehouse queries. Use when automating lab data with benchling-sdk or the v2 API.","1. **Authentication and setup** — API key and OAuth app auth; see → 2. **Registry and entity management** — DNA and AA sequences, custom entities, schemas, → 3. **Inventory management** — containers, boxes, plates, locations, and transfers. → 4. **Notebook and documentation** — entries, day-to-day notes, and structured tables. → 5. **Workflows and automation** — tasks, flowcharts, and assay runs. → 6. **Events and integration** — EventBridge subscriptions; see",,references/core_capabilities.md; references/authentication.md; references/eventbridge.md; references/api_endpoints.md; references/sdk_reference.md,"API_KEY, pip install, uv pip, credentials",246,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/benchling-integration/SKILL.md
ginkgo-cloud-lab,Scientific,F 工程集成与协作,实验平台、记录系统与设备,专业模块/适配后端,折叠为工程/平台适配,按用户指定平台、设备或运行环境调用；保留凭据、预算、安装及物理执行的授权边界。,分发,"Submit and manage protocols on Ginkgo Bioworks Cloud Lab (cloud.ginkgo.bio), a web-based interface for autonomous lab execution on Reconfigurable Automation Carts (RACs). Use when the user wants to run protein expression and purification (cell-free, E. coli, or Pichia), HiBiT or A280 or LabChip quantification, IVT mRNA/circRNA synthesis, thermal shift / developability assays, Echo-MS enzyme or analyte methods, SPR target onboarding, fluorescent pixel art, or otherwise interact with Ginkgo Cloud ","1. Select a protocol at https://cloud.ginkgo.bio/protocols → 2. Configure parameters (number of proteins/samples/molecules/targets, replicates, plates) → 3. Download the protocol's input template and upload inputs (FASTA/CSV/XLSX for sequence protocols; Design Tool for pixel art; vendor catalog numbers for onboarding) → 4. Add any special requirements in the Additional Details field → 5. Provide an email, agree to the protocol terms, and add to cart / submit to receive a feasibility report and price quote",,references/ivt-rna-synthesis-qpcr.md; references/cell-free-protein-expression-validation.md; references/cell-free-protein-expression-optimization.md; references/cell-free-protein-expression-hibit.md; references/cfps-strep-tag-purification-a280.md; references/minibinder-strep-tag-a280.md; references/cfps-expression-purification-quantification.md; references/ecoli-protein-expression-hibit.md; references/ecoli-protein-expression-histag-a280.md; references/ecoli-minibinder-expression-histag-a280.md; references/ecoli-expression-purification-quantification.md; references/pichia-protein-expression-labchip.md; references/cfps-strep-purification-thermal-shift.md; references/echo-ms-cfps-detection.md; references/echo-ms-method-onboarding.md; references/spr-target-onboarding.md; references/fluorescent-pixel-art-generation.md,upload,124,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/ginkgo-cloud-lab/SKILL.md
lab-hardware-cad,Scientific,F 工程集成与协作,实验平台、记录系统与设备,专业模块/适配后端,折叠为工程/平台适配,按用户指定平台、设备或运行环境调用；保留凭据、预算、安装及物理执行的授权边界。,分发,"Design custom laboratory hardware as parametric build123d models and export fabrication-ready STEP, STL, and DXF files - microfluidic chips and molds, optomechanical mounts and breadboard adapters, cuvette and microplate holders, tube racks, animal-behavior rigs, and 3D-printed instrument fixtures. Use when a research task needs a physical part that must mate with standardized labware, an optical table, a cage system, or a printer, CNC, or laser process.",Lab Hardware CAD → When to use → Setup → Required workflow → 1. Route to a device family → 2. Establish the interface dimensions before any geometry → 3. Choose the process before choosing the geometry → 4. Author a parametric model,"matplotlib, pdf",,"pip install, uv pip",389,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/lab-hardware-cad/SKILL.md
labarchive-integration,Scientific,F 工程集成与协作,实验平台、记录系统与设备,专业模块/适配后端,折叠为工程/平台适配,按用户指定平台、设备或运行环境调用；保留凭据、预算、安装及物理执行的授权边界。,分发,"Securely integrate with the official LabArchives ELN REST-like API and Inventory API v1. Use for regional endpoint selection, signed-request construction, user authorization and UID flows, local LA container validation, and verified LabArchives integration workflows.","1. Set `expires` to the current Unix epoch time in milliseconds, adjusted for → 2. Concatenate, with no separators: → 3. Compute HMAC-SHA-512 using the Access Password as the key. → 4. Base64-encode the digest. → 5. URI-encode that signature and send `akid`, `expires`, and `sig` as the → 1. Open the exact official method page and verify verb, path, parameters, body,",,references/api_reference.md; references/integrations.md; references/authentication_guide.md; references/sources.md,"upload, credentials",233,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/labarchive-integration/SKILL.md
omero-integration,Scientific,F 工程集成与协作,实验平台、记录系统与设备,专业模块/适配后端,折叠为工程/平台适配,按用户指定平台、设备或运行环境调用；保留凭据、预算、安装及物理执行的授权边界。,分发,"Securely inspect and automate microscopy data workflows against OMERO.server with omero-py, BlitzGateway, OMERO CLI, tables, annotations, ROIs, rendering, and documented OMERO.web APIs. Use for scoped OMERO inventory, metadata export, import/export planning, or reviewed write workflows.","1. Start with local validation or a dry run. Do not connect until the user has → 2. Read credentials only from the named `OMERO_*` variables in the frontmatter. → 3. Never place a password or session key in command arguments, source code, → 4. Default to `secure=True`. OMERO encrypts login by default, but post-login → 5. Bound every list, page, ROI, shape, annotation, table row, pixel plane, and → 6. Treat all writes separately: annotation/link creation, rendering-default",,references/sources.md; references/connection.md; references/scripts.md; references/data_access.md; references/metadata.md; references/image_processing.md; references/rois.md; references/tables.md; references/advanced.md,"upload, pip install, uv pip, credentials",239,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/omero-integration/SKILL.md
opentrons-integration,Scientific,F 工程集成与协作,实验平台、记录系统与设备,专业模块/适配后端,折叠为工程/平台适配,按用户指定平台、设备或运行环境调用；保留凭据、预算、安装及物理执行的授权边界。,分发,"Author, review, migrate, simulate, and troubleshoot official Opentrons Python Protocol API v2 protocols for Flex and OT-2 robots. Use for robot-specific liquid handling, deck and labware setup, pipettes, modules, runtime parameters, liquid classes, and Opentrons App analysis. Use pylabrobot instead when one workflow must support multiple robot vendors.","1. Simulate locally with the same pinned `opentrons` version used for authoring. → 2. Import the protocol into the correct Opentrons App and require successful → 3. Verify robot model, software, pipettes, mounts, modules, adapters, labware → 4. Review the run preview and deck map with the operator. → 5. Perform a slow dry run with nonhazardous liquid when geometry, custom → 6. Keep the emergency stop accessible and follow site-specific biosafety,",,,"pip install, uv pip",339,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/opentrons-integration/SKILL.md
protocolsio-integration,Scientific,F 工程集成与协作,实验平台、记录系统与设备,专业模块/适配后端,折叠为工程/平台适配,按用户指定平台、设备或运行环境调用；保留凭据、预算、安装及物理执行的授权边界。,分发,"Read, validate, and safely export protocols.io data with current official REST/MCP contracts, or create non-executing mutation plans. The bundled client makes bounded official-host GET requests only with explicit --execute. Use only for tasks explicitly targeting protocols.io or an exact protocols.io protocol version.","1. **Start offline.** Validate credentials/configuration, saved JSON, pagination, → 2. **Require `--execute` for network reads.** Bundled write tooling has no → 3. **Read only named variables.** Never inspect the full environment, search → 4. **Use official HTTPS hosts only.** Core reads use `www.protocols.io` (the → 5. **Distinguish public content from anonymous API access.** A client token is → 6. **Bound every operation.** Set page/item/byte/time/retry caps. Never follow a",pdf,references/authentication.md; assets/protocol-snapshot.schema.json; references/protocols_api.md; references/discussions.md; references/workspaces.md; references/file_manager.md; references/additional_features.md,"upload, delete, credentials",253,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/protocolsio-integration/SKILL.md
